name,album,artists,artist_ids,year,release_date,disc_number,track_number,danceability,energy,acousticness,valence,tempo,duration_ms,instrumentalness,liveness,loudness,speechiness
Needle In The Hay,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,1,0.552,0.213,0.5770000000000001,0.332,116.165,259893,0.0105,0.1159999999999999,-16.777,0.0387
Christian Brothers,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,2,0.613,0.37,0.392,0.416,104.197,270720,6.579999999999999e-05,0.1939999999999999,-10.932,0.0274
Clementine,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,3,0.583,0.172,0.207,0.309,141.982,166320,0.5670000000000001,0.134,-18.04,0.0453
Southern Belle,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,4,0.516,0.267,0.222,0.475,121.06,186347,0.00013,0.0749,-14.550999999999998,0.0347
Single File,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,5,0.615,0.299,0.11,0.466,111.704,146453,6.76e-06,0.135,-14.674,0.0393
Coming Up Roses,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,6,0.532,0.296,0.186,0.242,94.109,190573,0.0,0.235,-13.525,0.0292
Satellite,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,7,0.421,0.207,0.141,0.43,136.859,145787,0.00964,0.293,-17.967,0.031
Alphabet Town,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,8,0.436,0.204,0.0871,0.228,155.125,251787,0.00335,0.18,-16.465999999999998,0.0295
St. Ides Heaven,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,9,0.62,0.322,0.233,0.604,114.998,180120,0.00541,0.122,-14.524,0.036
Good To Go,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,10,0.539,0.208,0.335,0.351,107.236,144587,0.018,0.119,-17.987000000000005,0.0297
The White Lady Loves You More,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,11,0.352,0.19,0.0833,0.331,157.10399999999996,144800,0.000687,0.1369999999999999,-18.358,0.039
The Biggest Lie,Elliott Smith,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-07-01,1,12,0.5429999999999999,0.158,0.515,0.293,150.375,159747,6.64e-05,0.123,-16.026,0.0357
Speed Trials,Speed Trials,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1996,1996-10-01,1,1,0.637,0.284,0.81,0.206,102.731,195760,0.406,0.0998,-16.965,0.0332
Angeles,Speed Trials,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1996,1996-10-01,1,2,0.54,0.102,0.87,0.606,118.293,171173,0.253,0.104,-23.275,0.0439
I Don't Think I'm Ever Gonna Figure It Out,Speed Trials,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1996,1996-10-01,1,3,0.634,0.305,0.883,0.183,116.367,131080,0.0529,0.0995,-18.926,0.0477
Needle In The Hay,Needle In The Hay,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-01-01,1,1,0.557,0.2739999999999999,0.3929999999999999,0.301,116.222,258501,0.00594,0.118,-14.773,0.0356
Alphabet Town,Needle In The Hay,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-01-01,1,2,0.493,0.287,0.0902,0.26,77.744,259411,0.000658,0.0927,-12.733,0.0279999999999999
Some Song,Needle In The Hay,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1995,1995-01-01,1,3,0.713,0.246,0.359,0.401,110.844,140899,0.0,0.173,-11.007,0.0483
"Everybody Cares, Everybody Understands",Drinking From Puddles: A Radio History,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1999,1999-03-23,1,13,0.662,0.284,0.843,0.212,123.608,188653,0.0,0.1169999999999999,-12.593,0.0383
Angel In The Snow,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,1,0.313,0.226,0.736,0.183,72.018,157360,0.000416,0.0918,-14.300999999999998,0.0551
Talking To Mary,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,2,0.411,0.209,0.7879999999999999,0.332,168.31400000000005,222200,0.0103,0.1639999999999999,-14.815,0.0392
High Times,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,3,0.616,0.235,0.35,0.249,122.443,191773,4.18e-06,0.0989,-13.144,0.0353
New Monkey,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,4,0.637,0.411,0.37,0.4589999999999999,113.64,192533,0.0,0.218,-10.224,0.0339
Looking Over My Shoulder,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,5,0.595,0.241,0.887,0.38,113.435,219667,0.0,0.183,-11.647,0.0371
Going Nowhere,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,6,0.544,0.187,0.742,0.289,108.842,231560,0.0894,0.107,-16.98,0.0303
Riot Coming,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,7,0.579,0.22,0.526,0.209,115.662,223840,5.78e-06,0.119,-12.572,0.0289999999999999
All Cleaned Out,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,8,0.528,0.309,0.789,0.603,156.745,177493,4.16e-06,0.122,-11.984000000000002,0.0325
First Timer,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,9,0.618,0.207,0.764,0.45,90.851,162040,0.0034799999999999,0.138,-16.713,0.0308
Go By,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,10,0.423,0.2769999999999999,0.861,0.24,143.961,226560,0.216,0.103,-13.257,0.0314
Miss Misery (Early Version),New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,11,0.446,0.186,0.899,0.355,134.766,176267,0.433,0.102,-16.225,0.0389
Thirteen,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,1,12,0.534,0.171,0.908,0.4679999999999999,115.318,163267,0.179,0.126,-15.707,0.0329
"Georgia, Georgia",New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,1,0.6659999999999999,0.209,0.809,0.612,119.656,106000,0.000196,0.157,-15.691,0.0441
Whatever (Folk Song In C),New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,2,0.585,0.19,0.616,0.3720000000000001,90.464,137800,0.0009,0.176,-14.184,0.034
Big Decision,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,3,0.467,0.3720000000000001,0.608,0.647,130.52100000000002,120333,0.0,0.147,-11.75,0.0715
Placeholder,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,4,0.474,0.206,0.8909999999999999,0.336,150.972,150160,0.0348,0.155,-16.24,0.0436
New Disaster,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,5,0.3670000000000001,0.294,0.856,0.3229999999999999,162.835,250467,0.0988,0.0929,-15.74,0.0358
Seen How Things Are Hard,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,6,0.473,0.361,0.0511,0.239,101.665,201267,0.0404,0.2,-13.758,0.0327
Fear City,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,7,0.5589999999999999,0.5529999999999999,0.0285,0.408,96.263,209933,0.0003509999999999,0.119,-10.316,0.027
Either/Or,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,8,0.504,0.416,0.3,0.511,116.097,147267,0.00527,0.0848,-11.859000000000002,0.0364
Pretty Mary K (Other Version),New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,9,0.578,0.324,0.769,0.331,108.52,204573,0.0847,0.0998,-15.158,0.0455
Almost Over,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,10,0.4029999999999999,0.469,0.77,0.316,119.773,131760,0.23,0.222,-11.443,0.037
See You Later,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,11,0.483,0.181,0.857,0.3779999999999999,84.18799999999997,174400,0.26,0.107,-15.864,0.0325
Half Right,New Moon,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],2007,2007-05-08,2,12,0.6409999999999999,0.143,0.878,0.376,98.363,230573,0.917,0.114,-17.840999999999994,0.0316
Carin At the Liquor Store - Recorded at Spotify Studios NYC,Spotify Singles,['The National'],['2cCUtGK9sDU2EoElnk0GNB'],2017,2017-11-15,1,1,0.406,0.2289999999999999,0.946,0.187,100.942,195775,0.0358,0.124,-13.637,0.0469
Maybe Not - Recorded at Spotify Studios NYC,Spotify Singles,['The National'],['2cCUtGK9sDU2EoElnk0GNB'],2017,2017-11-15,1,2,0.484,0.214,0.584,0.161,117.771,247228,0.0073,0.1159999999999999,-16.226,0.0406
Roman Candle,Roman Candle,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1994,1994-07-14,1,1,0.4370000000000001,0.352,0.241,0.15,118.136,216960,0.00179,0.133,-13.979,0.0358
Condor Ave,Roman Candle,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1994,1994-07-14,1,2,0.3670000000000001,0.307,0.193,0.467,92.711,214853,0.0,0.118,-11.21,0.0624
No Name #1,Roman Candle,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1994,1994-07-14,1,3,0.499,0.386,0.2769999999999999,0.36,72.285,183053,0.0126,0.0619,-9.809,0.0285
No Name #2,Roman Candle,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1994,1994-07-14,1,4,0.516,0.3429999999999999,0.151,0.34,76.009,214800,0.0206,0.0639,-9.983,0.0325
No Name #3,Roman Candle,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1994,1994-07-14,1,5,0.586,0.309,0.316,0.293,79.54,193240,0.00275,0.159,-12.684,0.0278
Drive All Over Town,Roman Candle,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1994,1994-07-14,1,6,0.417,0.324,0.1669999999999999,0.381,161.123,156667,0.00255,0.13,-10.99,0.0331
No Name #4,Roman Candle,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1994,1994-07-14,1,7,0.529,0.3339999999999999,0.092,0.1969999999999999,126.016,149987,0.0,0.121,-12.909,0.0358
Last Call,Roman Candle,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1994,1994-07-14,1,8,0.435,0.442,0.242,0.209,145.859,278013,0.0,0.1009999999999999,-7.037000000000001,0.0364
Kiwi Maddog 20/20 (version 2 of 2),Roman Candle,['Elliott Smith'],['2ApaG60P4r0yhBoDCGD8YG'],1994,1994-07-14,1,9,0.428,0.489,0.42,0.172,152.934,220840,0.846,0.114,-9.257,0.0312
When It Started,Spider Man - Music From And Inspired By,['The Strokes'],['0epOFNiUfyON9EYx7Tpr6V'],2002,2002-07-12,1,10,0.708,0.64,0.257,0.921,132.016,174533,0.00576,0.134,-8.381,0.0339
Terrible Love,High Violet (Expanded Edition),['The National'],['2cCUtGK9sDU2EoElnk0GNB'],2010,2010-11-22,1,1,0.304,0.795,0.55,0.35,79.884,279760,0.7240000000000001,0.118,-6.023,0.0554
Sorrow,High Violet (Expanded Edition),['The National'],['2cCUtGK9sDU2EoElnk0GNB'],2010,2010-11-22,1,2,0.55,0.74,0.172,0.522,122.277,205213,0.6629999999999999,0.0584,-8.83,0.0274
Anyone's Ghost,High Violet (Expanded Edition),['The National'],['2cCUtGK9sDU2EoElnk0GNB'],2010,2010-11-22,1,3,0.745,0.789,0.281,0.7440000000000001,120.061,174173,0.769,0.108,-7.1320000000000014,0.0917
